feature_idx,feature_name,raw_weight,abs_weight,normalized_abs_importance,direction,rank_abs_weight
4,rdkit_desc_4,-0.6415811031477556,0.6415811031477556,0.08936384799465397,negative,1
203,rdkit_desc_203,-0.4372706467419582,0.4372706467419582,0.06090607627976407,negative,2
102,rdkit_desc_102,0.40807089976507455,0.40807089976507455,0.056838933813250926,positive,3
151,rdkit_desc_151,-0.3112742810324721,0.3112742810324721,0.04335643209931774,negative,4
188,rdkit_desc_188,0.30302496354908104,0.30302496354908104,0.04220741017515482,positive,5
187,rdkit_desc_187,-0.27316344339208626,0.27316344339208626,0.03804809136868366,negative,6
101,rdkit_desc_101,-0.2603608431484768,0.2603608431484768,0.03626485676826752,negative,7
161,rdkit_desc_161,-0.2545891139721821,0.2545891139721821,0.03546093045833391,negative,8
2,rdkit_desc_2,-0.2509802069534221,0.2509802069534221,0.034958256958960224,negative,9
109,rdkit_desc_109,0.22553273244651212,0.22553273244651212,0.03141375692221333,positive,10
17,rdkit_desc_17,0.20299695368435006,0.20299695368435006,0.028274817982362404,positive,11
93,rdkit_desc_93,0.18550615021755698,0.18550615021755698,0.025838578051600457,positive,12
207,rdkit_desc_207,-0.175647950590866,0.175647950590866,0.02446545990859667,negative,13
215,rdkit_desc_215,-0.1704392733106485,0.1704392733106485,0.023739959356228676,negative,14
84,rdkit_desc_84,0.16908481859469726,0.16908481859469726,0.023551301547016307,positive,15
183,rdkit_desc_183,0.16031627540681506,0.16031627540681506,0.022329958279996794,positive,16
127,rdkit_desc_127,-0.15470123160334046,0.15470123160334046,0.021547856191149163,negative,17
216,rdkit_desc_216,0.1510113728972712,0.1510113728972712,0.021033907181564657,positive,18
16,rdkit_desc_16,0.15060461299479216,0.15060461299479216,0.020977250852509583,positive,19
77,rdkit_desc_77,0.14681969965325556,0.14681969965325556,0.020450061976673692,positive,20
117,rdkit_desc_117,-0.14654926309754943,0.14654926309754943,0.02041239370505885,negative,21
190,rdkit_desc_190,-0.14499276110331352,0.14499276110331352,0.020195593355214005,negative,22
205,rdkit_desc_205,-0.12971230655560764,0.12971230655560764,0.018067226090668922,negative,23
158,rdkit_desc_158,0.12187610672777885,0.12187610672777885,0.01697574604732894,positive,24
91,rdkit_desc_91,-0.11730432094125529,0.11730432094125529,0.016338956141755734,negative,25
212,rdkit_desc_212,-0.09386765602776867,0.09386765602776867,0.013074535555558823,negative,26
7,rdkit_desc_7,0.09313403863145817,0.09313403863145817,0.012972352256879236,positive,27
20,rdkit_desc_20,-0.0920208070821919,0.0920208070821919,0.012817293676657036,negative,28
208,rdkit_desc_208,-0.08575985138416908,0.08575985138416908,0.011945224517272023,negative,29
12,rdkit_desc_12,-0.07738994040265024,0.07738994040265024,0.010779405497647656,negative,30
6,rdkit_desc_6,0.07240120221381181,0.07240120221381181,0.01008453958123395,positive,31
65,rdkit_desc_65,0.07122783125287685,0.07122783125287685,0.009921104368320291,positive,32
8,rdkit_desc_8,0.0708751339346286,0.0708751339346286,0.009871978249453291,positive,33
92,rdkit_desc_92,-0.06598478965780354,0.06598478965780354,0.009190817316795528,negative,34
133,rdkit_desc_133,-0.06236885663728128,0.06236885663728128,0.00868716518736181,negative,35
118,rdkit_desc_118,-0.06198783476724365,0.06198783476724365,0.008634093829259731,negative,36
139,rdkit_desc_139,0.05401096905129475,0.05401096905129475,0.007523020869323041,positive,37
3,rdkit_desc_3,0.04692544376030234,0.04692544376030234,0.0065360999610233166,positive,38
89,rdkit_desc_89,0.04679176526246221,0.04679176526246221,0.006517480296412671,positive,39
116,rdkit_desc_116,-0.046461170412604356,0.046461170412604356,0.006471432762023696,negative,40
189,rdkit_desc_189,-0.04636499417421928,0.04636499417421928,0.006458036671170063,negative,41
195,rdkit_desc_195,0.04432150016126039,0.04432150016126039,0.006173404708887988,positive,42
179,rdkit_desc_179,-0.039198497048637294,0.039198497048637294,0.005459837446407136,negative,43
13,rdkit_desc_13,0.037051312750757244,0.037051312750757244,0.00516076278496395,positive,44
66,rdkit_desc_66,-0.030474445403857475,0.030474445403857475,0.004244691268851981,negative,45
50,rdkit_desc_50,-0.02945542658828921,0.02945542658828921,0.004102755288986996,negative,46
160,rdkit_desc_160,0.027322319030790226,0.027322319030790226,0.003805641333184145,positive,47
61,rdkit_desc_61,0.02672436658448084,0.02672436658448084,0.0037223543858943067,positive,48
81,rdkit_desc_81,0.0243496274162428,0.0243496274162428,0.0033915843101919646,positive,49
166,rdkit_desc_166,-0.01985146364495833,0.01985146364495833,0.0027650489874713534,negative,50
113,rdkit_desc_113,-0.01985146364495833,0.01985146364495833,0.0027650489874713534,negative,51
72,rdkit_desc_72,-0.018813879756467256,0.018813879756467256,0.0026205271360048763,negative,52
51,rdkit_desc_51,0.015298733250947862,0.015298733250947862,0.0021309132485992323,positive,53
146,rdkit_desc_146,0.015147033979500535,0.015147033979500535,0.0021097835261557137,positive,54
71,rdkit_desc_71,-0.010961528813633657,0.010961528813633657,0.0015267974537974895,negative,55
104,rdkit_desc_104,-0.010254152788103486,0.010254152788103486,0.0014282692345117315,negative,56
135,rdkit_desc_135,0.008898024965294765,0.008898024965294765,0.001239378383418678,positive,57
156,rdkit_desc_156,0.007422114093356944,0.007422114093356944,0.001033803321799175,positive,58
197,rdkit_desc_197,0.004210724582445132,0.004210724582445132,0.0005864988069112769,positive,59
198,rdkit_desc_198,0.004210724582445132,0.004210724582445132,0.0005864988069112769,positive,60
11,rdkit_desc_11,-0.002707522469170274,0.002707522469170274,0.0003771224326744558,negative,61
86,rdkit_desc_86,0.0019171797859763823,0.0019171797859763823,0.00026703804418778254,positive,62
27,rdkit_desc_27,0.0,0.0,0.0,zero,63
29,rdkit_desc_29,0.0,0.0,0.0,zero,64
30,rdkit_desc_30,0.0,0.0,0.0,zero,65
31,rdkit_desc_31,0.0,0.0,0.0,zero,66
32,rdkit_desc_32,0.0,0.0,0.0,zero,67
153,rdkit_desc_153,0.0,0.0,0.0,zero,68
154,rdkit_desc_154,0.0,0.0,0.0,zero,69
155,rdkit_desc_155,0.0,0.0,0.0,zero,70
157,rdkit_desc_157,0.0,0.0,0.0,zero,71
159,rdkit_desc_159,0.0,0.0,0.0,zero,72
162,rdkit_desc_162,0.0,0.0,0.0,zero,73
163,rdkit_desc_163,0.0,0.0,0.0,zero,74
164,rdkit_desc_164,0.0,0.0,0.0,zero,75
165,rdkit_desc_165,0.0,0.0,0.0,zero,76
167,rdkit_desc_167,0.0,0.0,0.0,zero,77
168,rdkit_desc_168,0.0,0.0,0.0,zero,78
28,rdkit_desc_28,0.0,0.0,0.0,zero,79
131,rdkit_desc_131,0.0,0.0,0.0,zero,80
132,rdkit_desc_132,0.0,0.0,0.0,zero,81
134,rdkit_desc_134,0.0,0.0,0.0,zero,82
136,rdkit_desc_136,0.0,0.0,0.0,zero,83
137,rdkit_desc_137,0.0,0.0,0.0,zero,84
138,rdkit_desc_138,0.0,0.0,0.0,zero,85
140,rdkit_desc_140,0.0,0.0,0.0,zero,86
141,rdkit_desc_141,0.0,0.0,0.0,zero,87
142,rdkit_desc_142,0.0,0.0,0.0,zero,88
25,rdkit_desc_25,0.0,0.0,0.0,zero,89
144,rdkit_desc_144,0.0,0.0,0.0,zero,90
145,rdkit_desc_145,0.0,0.0,0.0,zero,91
147,rdkit_desc_147,0.0,0.0,0.0,zero,92
148,rdkit_desc_148,0.0,0.0,0.0,zero,93
149,rdkit_desc_149,0.0,0.0,0.0,zero,94
150,rdkit_desc_150,0.0,0.0,0.0,zero,95
152,rdkit_desc_152,0.0,0.0,0.0,zero,96
169,rdkit_desc_169,0.0,0.0,0.0,zero,97
26,rdkit_desc_26,0.0,0.0,0.0,zero,98
143,rdkit_desc_143,0.0,0.0,0.0,zero,99
185,rdkit_desc_185,0.0,0.0,0.0,zero,100
186,rdkit_desc_186,0.0,0.0,0.0,zero,101
191,rdkit_desc_191,0.0,0.0,0.0,zero,102
192,rdkit_desc_192,0.0,0.0,0.0,zero,103
193,rdkit_desc_193,0.0,0.0,0.0,zero,104
194,rdkit_desc_194,0.0,0.0,0.0,zero,105
196,rdkit_desc_196,0.0,0.0,0.0,zero,106
199,rdkit_desc_199,0.0,0.0,0.0,zero,107
171,rdkit_desc_171,0.0,0.0,0.0,zero,108
9,rdkit_desc_9,0.0,0.0,0.0,zero,109
