feature_idx,feature_name,raw_weight,abs_weight,normalized_abs_importance,direction,rank_abs_weight
151,maccs_bit_151,0.058752698887227846,0.058752698887227846,0.037163981142233814,positive,1
118,maccs_bit_118,0.05136190001660826,0.05136190001660826,0.032488936164624116,positive,2
104,maccs_bit_104,0.050489951835243144,0.050489951835243144,0.03193738591445676,positive,3
128,maccs_bit_128,0.04272546088689575,0.04272546088689575,0.02702596225820397,positive,4
108,maccs_bit_108,0.04214416209931898,0.04214416209931898,0.026658262091425713,positive,5
111,maccs_bit_111,0.04170818800863614,0.04170818800863614,0.026382486966341854,positive,6
147,maccs_bit_147,0.039175386148480026,0.039175386148480026,0.024780364811093608,positive,7
117,maccs_bit_117,0.03695399435309738,0.03695399435309738,0.023375224888048128,positive,8
138,maccs_bit_138,0.03398521840225849,0.03398521840225849,0.021497327607716065,positive,9
82,maccs_bit_82,0.03265653545922588,0.03265653545922588,0.02065687008365148,positive,10
74,maccs_bit_74,0.032594253446271336,0.032594253446271336,0.02061747363721102,positive,11
91,maccs_bit_91,0.032158279355588716,0.032158279355588716,0.0203416985121273,positive,12
55,maccs_bit_55,0.03213751868460385,0.03213751868460385,0.020328566363313805,positive,13
73,maccs_bit_73,0.03213751868460385,0.03213751868460385,0.020328566363313805,positive,14
58,maccs_bit_58,0.03213751868460385,0.03213751868460385,0.020328566363313805,positive,15
60,maccs_bit_60,0.03213751868460385,0.03213751868460385,0.020328566363313805,positive,16
61,maccs_bit_61,0.03213751868460385,0.03213751868460385,0.020328566363313805,positive,17
67,maccs_bit_67,0.03213751868460385,0.03213751868460385,0.020328566363313805,positive,18
87,maccs_bit_87,0.032012954658694553,0.032012954658694553,0.020249773470432757,positive,19
136,maccs_bit_136,0.03157698056801193,0.03157698056801193,0.01997399834534903,positive,20
17,maccs_bit_17,-0.02997840890217577,0.02997840890217577,0.018962822886708797,negative,21
33,maccs_bit_33,0.027923102474671946,0.027923102474671946,0.01766274015417123,positive,22
88,maccs_bit_88,0.027092675635276498,0.027092675635276498,0.017137454201630823,positive,23
86,maccs_bit_86,0.026054642086032066,0.026054642086032066,0.016480846760955233,positive,24
51,maccs_bit_51,0.025680950008304233,0.025680950008304233,0.016244468082312124,positive,25
102,maccs_bit_102,0.02541106128550071,0.02541106128550071,0.01607375014773649,positive,26
22,maccs_bit_22,-0.024788241155954217,0.024788241155954217,0.015679785683331244,negative,27
32,maccs_bit_32,0.021466533798372326,0.021466533798372326,0.013578641873169548,positive,28
97,maccs_bit_97,-0.020345457565189014,0.020345457565189014,0.012869505837240341,negative,29
143,maccs_bit_143,-0.019784919448597112,0.019784919448597112,0.012514937819275582,negative,30
127,maccs_bit_127,-0.019784919448597112,0.019784919448597112,0.012514937819275582,negative,31
126,maccs_bit_126,-0.019784919448597112,0.019784919448597112,0.012514937819275582,negative,32
113,maccs_bit_113,-0.019224381332005155,0.019224381332005155,0.012160369801310788,negative,33
116,maccs_bit_116,0.01914133864806502,0.01914133864806502,0.012107841206056373,positive,34
130,maccs_bit_130,0.018124065769805627,0.018124065769805627,0.011464365914194393,positive,35
141,maccs_bit_141,0.01721059624647026,0.01721059624647026,0.010886551366399705,positive,36
84,maccs_bit_84,-0.01708603222056139,0.01708603222056139,0.010807758473518928,negative,37
69,maccs_bit_69,0.01671234014283338,0.01671234014283338,0.010571379794875707,positive,38
107,maccs_bit_107,0.015902673974422757,0.015902673974422757,0.01005922599114877,positive,39
153,maccs_bit_153,-0.015715827935559402,0.015715827935559402,0.009941036651827571,negative,40
112,maccs_bit_112,0.015487460554725017,0.015487460554725017,0.009796583014878558,positive,41
106,maccs_bit_106,0.015466699883740172,0.015466699883740172,0.009783450866065073,positive,42
129,maccs_bit_129,0.015404417870785392,0.015404417870785392,0.009744054419624466,positive,43
152,maccs_bit_152,-0.01515528981896749,0.01515528981896749,0.009586468633862807,negative,44
100,maccs_bit_100,-0.015155289818967473,0.015155289818967473,0.009586468633862795,negative,45
155,maccs_bit_155,-0.015155289818967473,0.015155289818967473,0.009586468633862795,negative,46
81,maccs_bit_81,0.014179538282677262,0.014179538282677262,0.008969257639627462,positive,47
140,maccs_bit_140,0.014075734927752766,0.014075734927752766,0.008903596895559869,positive,48
134,maccs_bit_134,0.013099983391463114,0.013099983391463114,0.00828638590132489,positive,49
144,maccs_bit_144,0.012518684603886367,0.012518684603886367,0.007918685734546646,positive,50
157,maccs_bit_157,-0.011086198305929773,0.011086198305929773,0.007012567466414792,negative,51
90,maccs_bit_90,0.010297292808503472,0.010297292808503472,0.006513545811501009,positive,52
109,maccs_bit_109,-0.010172728782594355,0.010172728782594355,0.006434752918620074,negative,53
95,maccs_bit_95,-0.010006643414715296,0.010006643414715296,0.006329695728112012,negative,54
150,maccs_bit_150,0.009861318717820882,0.009861318717820882,0.006237770686417307,positive,55
110,maccs_bit_110,0.009030891878425434,0.009030891878425434,0.005712484733876899,positive,56
103,maccs_bit_103,0.008989370536455741,0.008989370536455741,0.005686220436249929,positive,57
154,maccs_bit_154,0.008885567181531242,0.008885567181531242,0.005620559692182335,positive,58
146,maccs_bit_146,0.008698721142667076,0.008698721142667076,0.005502370352860622,positive,59
