,smiles,value,preds
2051,CC(C)(C)OC(=O)N1CCNC(=O)C1,False,0.020006159605251803
2068,O=C(Cc1csc(-c2ccc(F)c(F)c2)n1)NCC(F)(F)F,True,0.706167670856052
2114,c1ccc2[nH]c(C3CCNCC3)nc2c1,False,0.037933593847478894
2117,NC(=O)Cc1nc(-c2ccc(Cl)cc2Cl)cs1,False,0.28787121645187597
2126,Cc1ccc(C(=O)Nc2nc3ccccc3[nH]2)cc1,True,0.8329546458145619
2127,O=C(Nc1nc2ccccc2[nH]1)c1cccnc1,True,0.7959234324633528
2128,Cn1c(NC(=O)C2CC2c2ccc(Cl)cc2)nc2ccccc21,True,0.7920095580317517
2130,O=C(Nc1nc2ccccc2[nH]1)c1ccccc1,True,0.8726805713167355
2131,O=C(Nc1nc2ccccc2[nH]1)C1CC1c1ccccc1,True,0.75978615750685
2132,COc1ccc(-c2csc(CC(N)=O)n2)cc1Br,False,0.2081200297529157
2138,O=C(COc1ccc(F)cc1F)N1CCNC1=O,False,0.05317274582247543
2142,COC(=O)Nc1nc2ccccc2[nH]1,True,0.5273389911145179
2158,O=C(Nc1nc2ccccc2[nH]1)c1cc(Cl)ccc1Cl,True,0.8718217330985888
143,c1ccc(-c2n[nH]c(C3CCN(c4ccccn4)CC3)n2)cc1,False,0.1514297965145407
153,NCc1cccc(C(=O)N2CCCC2)c1,False,3.647904160494797e-05
154,Cc1ncsc1CN1CCCN(c2nc3ccccc3[nH]2)CC1,False,0.12685523178115218
157,CNC(=O)c1ccc(N2CCCC2)nc1,False,3.647904160494797e-05
179,CCc1nnc(NC(=O)Cc2cccc(F)c2)s1,False,0.15440929124994185
193,C[C@@H](C(=O)N1CCCC1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,False,0.027802919072374074
197,CC(C)(C)c1csc(NC(=O)C2CC2)n1,False,0.1508627400231994
220,CCN(C(=O)CN1CCNC(=O)C1)c1ccc(F)cc1,False,3.647904160494797e-05
224,CNC(=O)Cc1csc(-c2ccc(C)cc2)n1,True,0.5205755400414679
250,c1cnc(N2CCC(Cc3ccncc3)CC2)nc1,False,0.009663507530294596
268,Cc1nc(C(C)C)sc1C(=O)Nc1nc(C(C)(C)C)cs1,False,0.31699945434616905
280,CCOc1ccc(-c2csc(N)n2)cc1,True,0.5906393161121236
289,Clc1snnc1CN1CCCN(c2nc3ccccc3[nH]2)CC1,False,0.23888831490436316
331,CC(C)CC(=O)NCC(=O)N1CCCC1,False,3.647904160494797e-05
382,O=C(c1cccc(CNc2ccc3nccnc3n2)c1)N1CCCCC1,False,0.3080806624496054
394,O=C(CC1CCN(c2ncc(Cl)cn2)CC1)N1CCOCC1,False,0.015539667720042337
409,Cc1nc(Cn2ncc3ccccc3c2=O)cs1,False,0.20159418408807744
