,smiles,value,preds
2051,CC(C)(C)OC(=O)N1CCNC(=O)C1,False,-1.909973725135909
2068,O=C(Cc1csc(-c2ccc(F)c(F)c2)n1)NCC(F)(F)F,True,0.22009571074732204
2114,c1ccc2[nH]c(C3CCNCC3)nc2c1,False,-0.9996368732396046
2117,NC(=O)Cc1nc(-c2ccc(Cl)cc2Cl)cs1,False,-0.8842191327426929
2126,Cc1ccc(C(=O)Nc2nc3ccccc3[nH]2)cc1,True,1.5119314559411432
2127,O=C(Nc1nc2ccccc2[nH]1)c1cccnc1,True,0.4961261100601573
2128,Cn1c(NC(=O)C2CC2c2ccc(Cl)cc2)nc2ccccc21,True,0.09542848410241866
2130,O=C(Nc1nc2ccccc2[nH]1)c1ccccc1,True,1.000035445244182
2131,O=C(Nc1nc2ccccc2[nH]1)C1CC1c1ccccc1,True,0.4701984976400513
2132,COc1ccc(-c2csc(CC(N)=O)n2)cc1Br,False,-0.8545413396764809
2138,O=C(COc1ccc(F)cc1F)N1CCNC1=O,False,-1.0002396091667656
2142,COC(=O)Nc1nc2ccccc2[nH]1,True,-0.113797457437808
2158,O=C(Nc1nc2ccccc2[nH]1)c1cc(Cl)ccc1Cl,True,0.8273384533750865
143,c1ccc(-c2n[nH]c(C3CCN(c4ccccn4)CC3)n2)cc1,False,-0.09826682185594171
153,NCc1cccc(C(=O)N2CCCC2)c1,False,-2.5446487424533344
154,Cc1ncsc1CN1CCCN(c2nc3ccccc3[nH]2)CC1,False,-1.5472553888527187
157,CNC(=O)c1ccc(N2CCCC2)nc1,False,-1.62435327314265
179,CCc1nnc(NC(=O)Cc2cccc(F)c2)s1,False,-0.9996380554200479
193,C[C@@H](C(=O)N1CCCC1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,False,-1.3767249899050378
197,CC(C)(C)c1csc(NC(=O)C2CC2)n1,False,-1.0146124379789305
220,CCN(C(=O)CN1CCNC(=O)C1)c1ccc(F)cc1,False,-1.829565543775554
224,CNC(=O)Cc1csc(-c2ccc(C)cc2)n1,True,-0.33314151142882586
250,c1cnc(N2CCC(Cc3ccncc3)CC2)nc1,False,-2.156872558647711
