feature_idx,feature_name,raw_weight,abs_weight,normalized_abs_importance,direction,rank_abs_weight
80,ecfp4_bit_80,-0.37569442097189215,0.37569442097189215,0.007767861479083359,negative,1
672,ecfp4_bit_672,0.29989384168829303,0.29989384168829303,0.006200607969206709,positive,2
314,ecfp4_bit_314,0.2963898358582534,0.2963898358582534,0.006128159110798762,positive,3
771,ecfp4_bit_771,0.24746606710086388,0.24746606710086388,0.0051166107951251035,positive,4
842,ecfp4_bit_842,-0.24455917651058212,0.24455917651058212,0.00505650789718548,negative,5
136,ecfp4_bit_136,0.23876608864863785,0.23876608864863785,0.004936729956562004,positive,6
360,ecfp4_bit_360,0.23197587162291233,0.23197587162291233,0.004796335363710982,positive,7
896,ecfp4_bit_896,0.22571969406031292,0.22571969406031292,0.004666982575961021,positive,8
875,ecfp4_bit_875,0.22378817464951203,0.22378817464951203,0.00462704646195526,positive,9
718,ecfp4_bit_718,0.21039388249210567,0.21039388249210567,0.004350105947853536,positive,10
792,ecfp4_bit_792,0.20569843885595665,0.20569843885595665,0.004253022909851282,positive,11
954,ecfp4_bit_954,0.20322787251552465,0.20322787251552465,0.004201941456318605,positive,12
726,ecfp4_bit_726,0.19611474644305357,0.19611474644305357,0.004054870392896172,positive,13
745,ecfp4_bit_745,0.18700094010296417,0.18700094010296417,0.0038664332449239833,positive,14
456,ecfp4_bit_456,-0.18624567864688651,0.18624567864688651,0.0038508174517585558,negative,15
121,ecfp4_bit_121,-0.18435632352219197,0.18435632352219197,0.003811753126939845,negative,16
924,ecfp4_bit_924,-0.183148646580633,0.183148646580633,0.0037867831868240325,negative,17
366,ecfp4_bit_366,0.18086191487352415,0.18086191487352415,0.003739502699946698,positive,18
641,ecfp4_bit_641,0.17466884516561595,0.17466884516561595,0.0036114547308102665,positive,19
831,ecfp4_bit_831,0.1736519405830474,0.1736519405830474,0.0035904292018327454,positive,20
62,ecfp4_bit_62,0.17301070370497662,0.17301070370497662,0.0035771709819442305,positive,21
59,ecfp4_bit_59,-0.17056502827380687,0.17056502827380687,0.003526604173092029,negative,22
491,ecfp4_bit_491,0.16714892846911483,0.16714892846911483,0.003455972860513776,positive,23
675,ecfp4_bit_675,0.1624958340835081,0.1624958340835081,0.003359765436025038,positive,24
799,ecfp4_bit_799,0.16159282408197603,0.16159282408197603,0.0033410947925058125,positive,25
428,ecfp4_bit_428,0.15526554471308046,0.15526554471308046,0.0032102719031216766,positive,26
801,ecfp4_bit_801,0.1552274939814996,0.1552274939814996,0.0032094851658277523,positive,27
715,ecfp4_bit_715,0.15472141382827834,0.15472141382827834,0.0031990214476885093,positive,28
709,ecfp4_bit_709,0.1545283150783319,0.1545283150783319,0.0031950289360683265,positive,29
724,ecfp4_bit_724,-0.15411815351975824,0.15411815351975824,0.003186548431719066,negative,30
64,ecfp4_bit_64,0.15223706433566095,0.15223706433566095,0.003147655013568034,positive,31
175,ecfp4_bit_175,0.15174235660208982,0.15174235660208982,0.0031374264316873907,positive,32
607,ecfp4_bit_607,0.15167602630215068,0.15167602630215068,0.00313605498576477,positive,33
827,ecfp4_bit_827,0.15150392208652566,0.15150392208652566,0.0031324965573391278,positive,34
363,ecfp4_bit_363,0.15139248920689963,0.15139248920689963,0.0031301925700429867,positive,35
333,ecfp4_bit_333,0.15062075368732136,0.15062075368732136,0.0031142361589814,positive,36
392,ecfp4_bit_392,0.1486869371894121,0.1486869371894121,0.003074252550380384,positive,37
728,ecfp4_bit_728,0.14836420929016128,0.14836420929016128,0.003067579825216325,positive,38
361,ecfp4_bit_361,0.1472068110184367,0.1472068110184367,0.0030436494473639482,positive,39
193,ecfp4_bit_193,-0.14501991172226056,0.14501991172226056,0.002998433096379934,negative,40
341,ecfp4_bit_341,0.14400506238875221,0.14400506238875221,0.002977450061751846,positive,41
564,ecfp4_bit_564,0.14137465165510088,0.14137465165510088,0.002923063664000077,positive,42
511,ecfp4_bit_511,0.14119873637908126,0.14119873637908126,0.002919426438052883,positive,43
835,ecfp4_bit_835,0.14055245077195888,0.14055245077195888,0.0029060638305937014,positive,44
700,ecfp4_bit_700,0.1379557250460991,0.1379557250460991,0.0028523739043885953,positive,45
887,ecfp4_bit_887,-0.1357167782046939,0.1357167782046939,0.002806081417856388,negative,46
463,ecfp4_bit_463,0.13552182256467837,0.13552182256467837,0.00280205051315919,positive,47
1019,ecfp4_bit_1019,-0.1340141219317078,0.1340141219317078,0.0027708772803000364,negative,48
322,ecfp4_bit_322,0.13397888195744456,0.13397888195744456,0.002770148658251577,positive,49
978,ecfp4_bit_978,0.13355630347254338,0.13355630347254338,0.002761411421413559,positive,50
892,ecfp4_bit_892,0.1294764660474809,0.1294764660474809,0.0026770566633815347,positive,51
77,ecfp4_bit_77,-0.12912947635647112,0.12912947635647112,0.0026698823011765778,negative,52
580,ecfp4_bit_580,0.12894713440842787,0.12894713440842787,0.0026661121972965094,positive,53
203,ecfp4_bit_203,0.12782679697365146,0.12782679697365146,0.002642948089667065,positive,54
667,ecfp4_bit_667,-0.1272794741199973,0.1272794741199973,0.0026316316370550625,negative,55
222,ecfp4_bit_222,-0.1269229616336734,0.1269229616336734,0.0026242603814421533,negative,56
843,ecfp4_bit_843,0.1253365816905669,0.1253365816905669,0.0025914603744061977,positive,57
695,ecfp4_bit_695,0.12475012372528584,0.12475012372528584,0.0025793347638479584,positive,58
689,ecfp4_bit_689,-0.12347508579842306,0.12347508579842306,0.0025529720673489634,negative,59
112,ecfp4_bit_112,0.1230920772659696,0.1230920772659696,0.0025450529792301964,positive,60
27,ecfp4_bit_27,0.1202851895258981,0.1202851895258981,0.002487017741188043,positive,61
4,ecfp4_bit_4,-0.12010979730247917,0.12010979730247917,0.002483391329881476,negative,62
759,ecfp4_bit_759,0.11985166421996271,0.11985166421996271,0.002478054167772522,positive,63
162,ecfp4_bit_162,0.11967565574173847,0.11967565574173847,0.002474415014775644,positive,64
507,ecfp4_bit_507,-0.11942366996219217,0.11942366996219217,0.002469204954362314,negative,65
206,ecfp4_bit_206,-0.11854097326277097,0.11854097326277097,0.00245095430887386,negative,66
184,ecfp4_bit_184,-0.11737157929584133,0.11737157929584133,0.0024267759079114864,negative,67
24,ecfp4_bit_24,0.1162669207821957,0.1162669207821957,0.0024039359778068783,positive,68
927,ecfp4_bit_927,0.11587244508262623,0.11587244508262623,0.002395779794429991,positive,69
625,ecfp4_bit_625,0.11550907279453235,0.11550907279453235,0.002388266705489386,positive,70
