,smiles,value,preds
2051,CC(C)(C)OC(=O)N1CCNC(=O)C1,False,0.007323532828782349
2068,O=C(Cc1csc(-c2ccc(F)c(F)c2)n1)NCC(F)(F)F,True,0.4548178754243552
2114,c1ccc2[nH]c(C3CCNCC3)nc2c1,False,0.01639351504029726
2117,NC(=O)Cc1nc(-c2ccc(Cl)cc2Cl)cs1,False,0.31828639386741153
2126,Cc1ccc(C(=O)Nc2nc3ccccc3[nH]2)cc1,True,0.6185081930868724
2127,O=C(Nc1nc2ccccc2[nH]1)c1cccnc1,True,0.28285610289001406
2128,Cn1c(NC(=O)C2CC2c2ccc(Cl)cc2)nc2ccccc21,True,0.5439423493621159
2130,O=C(Nc1nc2ccccc2[nH]1)c1ccccc1,True,0.6215125947051154
2131,O=C(Nc1nc2ccccc2[nH]1)C1CC1c1ccccc1,True,0.5626940822298336
2132,COc1ccc(-c2csc(CC(N)=O)n2)cc1Br,False,0.1772331833455199
2138,O=C(COc1ccc(F)cc1F)N1CCNC1=O,False,0.04213112950105049
2142,COC(=O)Nc1nc2ccccc2[nH]1,True,0.3483556652630795
2158,O=C(Nc1nc2ccccc2[nH]1)c1cc(Cl)ccc1Cl,True,0.8657770974071953
143,c1ccc(-c2n[nH]c(C3CCN(c4ccccn4)CC3)n2)cc1,False,0.12072329351534947
153,NCc1cccc(C(=O)N2CCCC2)c1,False,0.011118642151634444
154,Cc1ncsc1CN1CCCN(c2nc3ccccc3[nH]2)CC1,False,0.08127595696490064
157,CNC(=O)c1ccc(N2CCCC2)nc1,False,0.009887558617434572
179,CCc1nnc(NC(=O)Cc2cccc(F)c2)s1,False,0.20892894525514416
193,C[C@@H](C(=O)N1CCCC1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,False,0.009077372247542287
197,CC(C)(C)c1csc(NC(=O)C2CC2)n1,False,0.1788446124454146
220,CCN(C(=O)CN1CCNC(=O)C1)c1ccc(F)cc1,False,0.00816631446692229
224,CNC(=O)Cc1csc(-c2ccc(C)cc2)n1,True,0.20804929909406011
250,c1cnc(N2CCC(Cc3ccncc3)CC2)nc1,False,0.01529320811949393
268,Cc1nc(C(C)C)sc1C(=O)Nc1nc(C(C)(C)C)cs1,False,0.5597836916692348
280,CCOc1ccc(-c2csc(N)n2)cc1,True,0.1224197323331557
289,Clc1snnc1CN1CCCN(c2nc3ccccc3[nH]2)CC1,False,0.20412740894079026
331,CC(C)CC(=O)NCC(=O)N1CCCC1,False,0.0035285217612604216
382,O=C(c1cccc(CNc2ccc3nccnc3n2)c1)N1CCCCC1,False,0.1859149901239942
394,O=C(CC1CCN(c2ncc(Cl)cn2)CC1)N1CCOCC1,False,0.03785988542275107
409,Cc1nc(Cn2ncc3ccccc3c2=O)cs1,False,0.24131628864704516
443,O=C1CN(C(=O)c2cccc(Oc3cccc(C(F)(F)F)c3)c2)CCN1,False,0.08721766692874812
501,O=C(Cc1csc(-c2ccccn2)n1)NC1CCCCCC1,False,0.2062337513073231
608,CNC(=O)CC1CCN(c2ncccn2)CC1,False,0.010816965430167419
618,c1ccc2c(c1)CN(c1cnc3ccccc3n1)CCN2,False,0.23476255566796933
631,O=c1[nH]c2ccccc2n1C1CCN(Cc2nnsc2Cl)CC1,True,0.25638094562610303
638,c1ccc(-c2n[nH]c(C3CCN(c4cnc5ccccc5n4)CC3)n2)cc1,True,0.5626578164900603
641,COc1ccc(-c2nc(CC(N)=O)sc2C)cc1.Cl,False,0.13977168207990845
663,CCc1nnc(NC(=O)Cc2c(C)noc2C)s1,False,0.06550942210054275
721,O=C(Nc1nncs1)c1cccnc1,False,0.08060917006742986
792,CN(C(=O)C1CCN(c2ncccn2)CC1)C1CCCCCCC1,False,0.08128734095082633
793,CCS(=O)(=O)N1CCC(C(=O)N(C)C2CCCCCCC2)CC1,False,0.08128344454874407
822,O=C(CN1CCc2ccccc21)N1CCC(c2nc3ccccc3[nH]2)CC1,False,0.15563614616845012
823,O=c1[nH]c2ccccc2n1C1CCN(CCc2ccccn2)CC1,False,0.04771028598845694
824,CC1Cc2ccccc2N1C(=O)CN1CCC(n2c(=O)[nH]c3ccccc32)CC1,False,0.09168498237476869
843,CC(C)c1csc(NC(=O)C2CCN(c3ncccn3)CC2)n1,False,0.34502782952148897
895,Cc1cccc2sc(NC(=O)C(C)(C)C)nc12,False,0.5403035766659136
904,c1ccc(Cc2nnc(NC3CCOCC3)s2)cc1,False,0.07382485297867049
968,O=C(CSc1nnc(-c2cccs2)[nH]1)N1CCCCCC1,False,0.1789986199349654
978,COc1ccc(F)cc1CN1CCC(n2c(=O)[nH]c3ccccc32)CC1,False,0.14997039848591304
979,O=c1[nH]c2ccccc2n1C1CCN(CCOc2ccccc2)CC1,False,0.1426618537999798
985,CC(C)c1noc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)n1,False,0.09060913605055766
991,CC(C)(C)C(=O)Nc1nnc(Cc2ccccc2)s1,False,0.42713148816592694
1038,O=C(Cc1ccc2ccccc2c1)NCCc1nc2ccccc2[nH]1,False,0.595747102579635
1054,O=C1CN(C(=O)c2ccc(F)cc2)CCN1,False,0.00719296922787019
1131,O=C(CN1CCC(c2ccccc2)CC1)N1CCNC1=O,False,0.013048055179279034
1234,CCOC1CCN(C(=O)Cn2c(=O)[nH]c3ccccc32)CC1,False,0.02191696911104742
1242,CCN1CCc2ncnc(N3CCNc4ccccc4C3)c2C1,False,0.01924152148384926
