,smiles,value,preds
2051,CC(C)(C)OC(=O)N1CCNC(=O)C1,False,0.009860959
2068,O=C(Cc1csc(-c2ccc(F)c(F)c2)n1)NCC(F)(F)F,True,0.81707466
2114,c1ccc2[nH]c(C3CCNCC3)nc2c1,False,0.105174966
2117,NC(=O)Cc1nc(-c2ccc(Cl)cc2Cl)cs1,False,0.11664585
2126,Cc1ccc(C(=O)Nc2nc3ccccc3[nH]2)cc1,True,0.96750855
2127,O=C(Nc1nc2ccccc2[nH]1)c1cccnc1,True,0.89066625
2128,Cn1c(NC(=O)C2CC2c2ccc(Cl)cc2)nc2ccccc21,True,0.7999793
2130,O=C(Nc1nc2ccccc2[nH]1)c1ccccc1,True,0.9543255
2131,O=C(Nc1nc2ccccc2[nH]1)C1CC1c1ccccc1,True,0.72991604
2132,COc1ccc(-c2csc(CC(N)=O)n2)cc1Br,False,0.16771455
2138,O=C(COc1ccc(F)cc1F)N1CCNC1=O,False,0.04538805
2142,COC(=O)Nc1nc2ccccc2[nH]1,True,0.57448757
2158,O=C(Nc1nc2ccccc2[nH]1)c1cc(Cl)ccc1Cl,True,0.95692056
143,c1ccc(-c2n[nH]c(C3CCN(c4ccccn4)CC3)n2)cc1,False,0.2903655
153,NCc1cccc(C(=O)N2CCCC2)c1,False,0.0025618626
154,Cc1ncsc1CN1CCCN(c2nc3ccccc3[nH]2)CC1,False,0.011509891
157,CNC(=O)c1ccc(N2CCCC2)nc1,False,0.015445501
179,CCc1nnc(NC(=O)Cc2cccc(F)c2)s1,False,0.09917999
193,C[C@@H](C(=O)N1CCCC1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,False,0.027290491
197,CC(C)(C)c1csc(NC(=O)C2CC2)n1,False,0.084313355
220,CCN(C(=O)CN1CCNC(=O)C1)c1ccc(F)cc1,False,0.009414306
224,CNC(=O)Cc1csc(-c2ccc(C)cc2)n1,True,0.75471103
250,c1cnc(N2CCC(Cc3ccncc3)CC2)nc1,False,0.0019988774
