dataset,model,model_short,fingerprint,protocol,fold,n_features,n_nonzero,n_positive_importance,total_importance_raw,total_importance_positive,cumulative_top_10,fraction_top_10,cumulative_top_20,fraction_top_20,cumulative_top_50,fraction_top_50,cumulative_top_100,fraction_top_100,cumulative_top_150,fraction_top_150,cumulative_top_200,fraction_top_200,model_order,fingerprint_order,protocol_order,dataset_order
drd2,Decision Tree,DT,ECFP4,OOD holdout,1,1024,46,36,0.09988172032176434,0.11588471984899945,0.08555286226299771,0.738258,0.1073068577955201,0.925979,0.11588471984899945,1.0,0.11588471984899945,1.0,0.11588471984899945,1.0,0.11588471984899945,1.0,0,0,0,0
drd2,Decision Tree,DT,ECFP4,OOD holdout,2,1024,35,15,-0.010935740805139642,0.032306344224913144,0.0312972225727896,0.968764,0.032306344224913144,1.0,0.032306344224913144,1.0,0.032306344224913144,1.0,0.032306344224913144,1.0,0.032306344224913144,1.0,0,0,0,0
drd2,Decision Tree,DT,ECFP4,OOD holdout,3,1024,29,14,0.026207893331091067,0.03667221772700218,0.036572860947253504,0.997291,0.03667221772700218,1.0,0.03667221772700218,1.0,0.03667221772700218,1.0,0.03667221772700218,1.0,0.03667221772700218,1.0,0,0,0,0
drd2,Decision Tree,DT,ECFP4,Random shuffle,1,1024,41,21,0.029523246640778395,0.04873522297881438,0.04720153109242929,0.96853,0.04873422363726489,0.999979,0.04873522297881438,1.0,0.04873522297881438,1.0,0.04873522297881438,1.0,0.04873522297881438,1.0,0,0,1,0
drd2,Decision Tree,DT,ECFP4,Random shuffle,2,1024,63,36,0.06885706355203476,0.11088390824577435,0.09640801956112191,0.86945,0.10744826992940638,0.969016,0.11088390824577435,1.0,0.11088390824577435,1.0,0.11088390824577435,1.0,0.11088390824577435,1.0,0,0,1,0
drd2,Decision Tree,DT,ECFP4,Random shuffle,3,1024,55,40,0.08278090531730303,0.11230444211072574,0.0799453488945368,0.711863,0.103541143601399,0.921968,0.11230444211072574,1.0,0.11230444211072574,1.0,0.11230444211072574,1.0,0.11230444211072574,1.0,0,0,1,0
drd2,Decision Tree,DT,MACCS,OOD holdout,1,167,90,45,-0.003624965801113031,0.09757805622923121,0.0577702569230288,0.592041,0.08000762304584319,0.819935,0.09757805622923121,1.0,0.09757805622923121,1.0,0.09757805622923121,1.0,0.09757805622923121,1.0,0,1,0,0
drd2,Decision Tree,DT,MACCS,OOD holdout,2,167,33,16,-0.05777745003641653,0.05366034892543535,0.0526373547155227,0.980936,0.05366034892543535,1.0,0.05366034892543535,1.0,0.05366034892543535,1.0,0.05366034892543535,1.0,0.05366034892543535,1.0,0,1,0,0
drd2,Decision Tree,DT,MACCS,OOD holdout,3,167,5,3,0.003052688947762847,0.0164354426663222,0.0164354426663222,1.0,0.0164354426663222,1.0,0.0164354426663222,1.0,0.0164354426663222,1.0,0.0164354426663222,1.0,0.0164354426663222,1.0,0,1,0,0
drd2,Decision Tree,DT,MACCS,Random shuffle,1,167,64,19,-0.08587715290230608,0.04007177008099485,0.0371309768870287,0.926612,0.04007177008099485,1.0,0.04007177008099485,1.0,0.04007177008099485,1.0,0.04007177008099485,1.0,0.04007177008099485,1.0,0,1,1,0
drd2,Decision Tree,DT,MACCS,Random shuffle,2,167,65,23,0.020527745003930578,0.08216403681518508,0.068258621689731,0.83076,0.0819684327561383,0.997619,0.08216403681518508,1.0,0.08216403681518508,1.0,0.08216403681518508,1.0,0.08216403681518508,1.0,0,1,1,0
drd2,Decision Tree,DT,MACCS,Random shuffle,3,167,93,49,0.03867889132842556,0.16905186373303027,0.10256454518307712,0.606705,0.13921735970268861,0.823519,0.16905186373303024,1.0,0.16905186373303027,1.0,0.16905186373303027,1.0,0.16905186373303027,1.0,0,1,1,0
drd2,Logistic Regression,LR,ECFP4,OOD holdout,1,1024,376,376,0.9999999999999819,0.9999999999999819,0.0939997121343227,0.094,0.17004645594007808,0.170046,0.35153192029541325,0.351532,0.5638184727312301,0.563818,0.7244413830654028,0.724441,0.8384786413461136,0.838479,1,0,0,0
drd2,Logistic Regression,LR,ECFP4,OOD holdout,2,1024,1022,1022,0.9999999999999533,0.9999999999999533,0.0378465855447785,0.037847,0.069988591183027,0.069989,0.1532428427610779,0.153243,0.26893384810108817,0.268934,0.3679247045676787,0.367925,0.45354429478654323,0.453544,1,0,0,0
drd2,Logistic Regression,LR,ECFP4,OOD holdout,3,1024,34,34,0.9999999999999984,0.9999999999999984,0.5942253737908944,0.594225,0.8526892228384505,0.852689,0.9999999999999984,1.0,0.9999999999999984,1.0,0.9999999999999984,1.0,0.9999999999999984,1.0,1,0,0,0
drd2,Logistic Regression,LR,ECFP4,Random shuffle,1,1024,1018,1018,0.9999999999999529,0.9999999999999529,0.0362440080632217,0.036244,0.06725800538625999,0.067258,0.14769126793464152,0.147691,0.2606269695872111,0.260627,0.3575330526553886,0.357533,0.4425667869543383,0.442567,1,0,1,0
drd2,Logistic Regression,LR,ECFP4,Random shuffle,2,1024,1022,1022,0.9999999999999527,0.9999999999999527,0.0356131595746446,0.035613,0.0656389055402703,0.065639,0.1461730170797302,0.146173,0.25860406938651986,0.258604,0.3568113156779591,0.356811,0.44360725403376605,0.443607,1,0,1,0
drd2,Logistic Regression,LR,ECFP4,Random shuffle,3,1024,1020,1020,0.9999999999999524,0.9999999999999524,0.0426980326404662,0.042698,0.07870362487651299,0.078704,0.1667228318444376,0.166723,0.2855596435436801,0.28556,0.3861052004304572,0.386105,0.4739231698496204,0.473923,1,0,1,0
drd2,Logistic Regression,LR,MACCS,OOD holdout,1,167,102,102,0.9999999999999951,0.9999999999999951,0.3048652243096246,0.304865,0.4726545563044969,0.472655,0.8010079119465148,0.801008,0.9999428555023482,0.999943,0.999999999999995,1.0,0.9999999999999951,1.0,1,1,0,0
drd2,Logistic Regression,LR,MACCS,OOD holdout,2,167,140,140,0.9999999999999938,0.9999999999999938,0.35015220970047506,0.350152,0.5378844680090832,0.537884,0.7929412302262289,0.792941,0.9595660961572793,0.959566,0.9999999999999938,1.0,0.9999999999999938,1.0,1,1,0,0
drd2,Logistic Regression,LR,MACCS,OOD holdout,3,167,137,137,0.9999999999999931,0.9999999999999931,0.3394088027761547,0.339409,0.5379099740377026,0.53791,0.7966139575096719,0.796614,0.9650555970432041,0.965056,0.9999999999999932,1.0,0.9999999999999931,1.0,1,1,0,0
drd2,Logistic Regression,LR,MACCS,Random shuffle,1,167,101,101,0.9999999999999947,0.9999999999999947,0.29765074865123214,0.297651,0.4786854603213331,0.478685,0.8313236718977431,0.831324,0.9999911269469176,0.999991,0.9999999999999947,1.0,0.9999999999999947,1.0,1,1,1,0
drd2,Logistic Regression,LR,MACCS,Random shuffle,2,167,137,137,0.9999999999999931,0.9999999999999931,0.33856513942096894,0.338565,0.526993381474178,0.526993,0.7772643819101344,0.777264,0.9541268016958903,0.954127,0.9999999999999931,1.0,0.9999999999999931,1.0,1,1,1,0
drd2,Logistic Regression,LR,MACCS,Random shuffle,3,167,125,125,0.9999999999999938,0.9999999999999938,0.34518080680487334,0.345181,0.5456031858577965,0.545603,0.8141686529846355,0.814169,0.9799072483858507,0.979907,0.9999999999999937,1.0,0.9999999999999938,1.0,1,1,1,0
drd2,Logistic Regression,LR,RDKit desc,OOD holdout,1,217,199,199,0.9999999999999907,0.9999999999999907,0.1799645441063328,0.179965,0.3028602852712351,0.30286,0.5732455119787728,0.573246,0.8248227360851542,0.824823,0.9599091055386397,0.959909,0.9999999999999907,1.0,1,2,0,0
